dataset_id,synthetic,source_description,example_id,ticker,cik,company_name,as_of_date,fiscal_quarter,cash,marketable_securities,quarterly_operating_cash_burn,debt,market_cap,shares_outstanding,trial_phase,trial_status,disease_area,modality,endpoint_family,enrollment_target,enrollment_completed,stated_catalyst_date,actual_readout_date,catalyst_type,financing_before_catalyst,financing_type,estimated_dilution,program_discontinued_before_catalyst,clinical_outcome,delayed_readout,source_notes,evidence_refs
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-001,SYB1,,Synthetic Bio 1,2021-03-31,2021-Q1,120000000,10000000,24000000,5000000,450000000,50000000,phase_2,recruiting,oncology,small_molecule,surrogate,120,60,2022-03-31,2022-04-20,primary_readout,false,none,,false,positive,true,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-002,SYB2,,Synthetic Bio 2,2021-06-30,2021-Q2,35000000,0,22000000,15000000,120000000,35000000,phase_2,recruiting,oncology,biologic,clinical,150,45,2022-04-30,2022-05-15,primary_readout,true,distressed_refinancing,0.45,false,negative,true,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-003,SYB3,,Synthetic Bio 3,2021-09-30,2021-Q3,90000000,5000000,18000000,0,320000000,42000000,phase_1,active_not_recruiting,rare_disease,gene_therapy,biomarker,60,50,2022-09-30,2022-09-12,interim_analysis,false,none,,false,mixed,false,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-004,SYB4,,Synthetic Bio 4,2021-12-31,2021-Q4,18000000,0,16000000,2000000,80000000,30000000,phase_3,recruiting,neurology,small_molecule,clinical,450,240,2022-12-31,2023-02-10,primary_readout,true,clean_refinancing,0.22,false,positive,true,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-005,SYB5,,Synthetic Bio 5,2022-03-31,2022-Q1,250000000,30000000,42000000,0,950000000,80000000,phase_3,active_not_recruiting,immunology,biologic,clinical,600,520,2023-03-31,2023-03-20,primary_readout,false,none,,false,positive,false,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-006,SYB6,,Synthetic Bio 6,2022-06-30,2022-Q2,12000000,0,14000000,25000000,55000000,25000000,phase_2,recruiting,oncology,small_molecule,surrogate,100,20,2023-02-28,,primary_readout,true,distressed_refinancing,0.6,true,not_reported,,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-007,SYB7,,Synthetic Bio 7,2022-09-30,2022-Q3,78000000,12000000,26000000,0,260000000,39000000,phase_2,recruiting,cardiology,device,clinical,180,90,2023-09-30,2023-10-03,primary_readout,true,clean_refinancing,0.18,false,negative,true,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-008,SYB8,,Synthetic Bio 8,2022-12-31,2022-Q4,160000000,20000000,30000000,10000000,700000000,70000000,phase_1,completed,oncology,cell_therapy,biomarker,80,80,2023-06-30,2023-06-12,proof_of_concept,false,none,,false,positive,false,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-009,SYB9,,Synthetic Bio 9,2023-03-31,2023-Q1,42000000,0,28000000,5000000,110000000,28000000,phase_2,recruiting,rare_disease,gene_therapy,surrogate,70,25,2024-03-31,2024-04-30,primary_readout,true,partnership,0.1,false,mixed,true,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-010,SYB10,,Synthetic Bio 10,2023-06-30,2023-Q2,22000000,0,24000000,18000000,65000000,22000000,phase_3,recruiting,oncology,biologic,clinical,500,140,2024-06-30,,primary_readout,true,distressed_refinancing,0.55,true,not_reported,,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-011,SYB11,,Synthetic Bio 11,2020-03-31,2020-Q1,140000000,15000000,20000000,0,500000000,45000000,phase_2,active_not_recruiting,immunology,small_molecule,clinical,130,115,2021-03-31,2021-02-20,primary_readout,false,none,,false,positive,false,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-012,SYB12,,Synthetic Bio 12,2020-06-30,2020-Q2,30000000,0,12000000,0,90000000,26000000,phase_1,recruiting,neurology,biologic,safety,55,20,2021-12-31,2022-02-15,phase_completion,true,debt_or_royalty,0.05,false,negative,true,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-013,SYB13,,Synthetic Bio 13,2020-09-30,2020-Q3,95000000,5000000,35000000,12000000,240000000,44000000,phase_3,recruiting,cardiology,small_molecule,clinical,700,430,2021-09-30,2021-10-08,primary_readout,true,clean_refinancing,0.2,false,positive,true,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-014,SYB14,,Synthetic Bio 14,2020-12-31,2020-Q4,62000000,8000000,18000000,0,210000000,38000000,phase_2,recruiting,oncology,rna,biomarker,100,55,2021-12-31,2021-12-10,interim_analysis,false,none,,false,mixed,false,Synthetic example,
synthetic_biotech_panel_v1,true,Synthetic test data for CatalystLens validation pipeline only; not real validation evidence,SYN-015,SYB15,,Synthetic Bio 15,2021-03-31,2021-Q1,10000000,0,11000000,8000000,40000000,18000000,phase_2,recruiting,rare_disease,cell_therapy,surrogate,50,8,2022-03-31,,primary_readout,true,distressed_refinancing,0.7,true,not_reported,,Synthetic example,
